# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Tue Feb 16 13:32:45 UTC 2021 [seed=1613482363722]
# bears_aligned_ccs.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
10000	-32723.39086024001	-72.64939430627939	-32650.741465933734	369782.8107093029	369782.8107093029	432482.95943324966	4143.790338017635	743.6627678401502	0.3078576891072053	0.24887698995693835	0.16375112838999353	0.27951419254586285	0.020261118795136434	4.72741922472048E-6	4.72741922472048E-6	-32650.741465933734	0.0	-58.93679109433295
11000	-32184.89661656569	-65.76272717515425	-32119.133889390534	360625.31753275864	360625.31753275864	433647.89364500134	16338.644390780899	475.9622555573065	0.31964459616209123	0.25263764946461165	0.1461673913916985	0.28155036298159863	0.030659985805090613	1.3604709494014003E-6	1.3604709494014001E-6	-32119.133889390534	0.0	-54.72127724380406
12000	-31227.407648762648	-71.99565487668252	-31155.411993885966	360135.5740693501	360135.5740693501	615841.7437509513	60962.72784485496	414.28835167918635	0.3133148169710059	0.2543003381451719	0.14705881179826608	0.2853260330855561	0.0390648339745096	3.9048504914082557E-7	3.904850491408256E-7	-31155.411993885966	0.0	-61.36101347213838
13000	-30551.059136615855	-73.44529642172027	-30477.613840194135	360195.95826711896	360195.95826711896	976477.9605629989	151970.3020991108	177.02163819770803	0.3083961404485885	0.2558266103192739	0.15154967809022735	0.2842275711419102	0.03203348004462271	1.0859568539978688E-7	1.0859568539978687E-7	-30477.613840194135	0.0	-66.27040699097279
14000	-30545.47836224436	-73.07438948840957	-30472.40397275595	360435.3829363124	360435.3829363124	983667.3761821205	145916.7404277519	153.24990675423322	0.3083961404485885	0.2558266103192739	0.15154967809022735	0.2842275711419102	0.035067114053827744	1.0859568539978688E-7	1.0859568539978688E-7	-30472.40397275595	0.0	-66.45994181112786
15000	-30527.438392067736	-71.10341818228133	-30456.334973885456	362416.32836544217	362416.32836544217	992971.3871881441	138869.4003864943	82.12380513176228	0.31465949120820846	0.25585069747615774	0.14743560083780216	0.2820542104778316	0.042686246209668856	1.0201617728690229E-7	1.0201617728690227E-7	-30456.334973885456	0.0	-66.67385918330214
16000	-30525.19270519614	-69.67455037029302	-30455.518154825848	362935.5455045234	362935.5455045234	986440.5146776398	171205.81743650287	57.602842495831474	0.31573760153958796	0.25477258714477824	0.14743560083780216	0.2820542104778316	0.026855483061684667	1.0175664542622667E-7	1.0175664542622669E-7	-30455.518154825848	0.0	-66.15422205286704
17000	-30527.655415820507	-69.42385705352817	-30458.23155876698	362396.86527089623	362396.86527089623	979225.1394995893	151619.38993234572	52.38832266755877	0.31664252803958437	0.2564788018707646	0.14978257836075173	0.2770960917288992	0.014013163335770731	1.0368260657746673E-7	1.0368260657746671E-7	-30458.23155876698	0.0	-66.31395454856529
18000	-30525.415112947398	-69.84528483694793	-30455.56982811045	360627.40812200884	360627.40812200884	976723.9922606482	140168.1261677335	60.941394623247604	0.31596835307637927	0.2524745770747001	0.15074984501056196	0.2808072248383585	0.015380606237755568	1.103660095147034E-7	1.103660095147034E-7	-30455.56982811045	0.0	-66.32748892935965
19000	-30528.414934832	-70.27501934169973	-30458.139915490297	361998.88703886664	361998.88703886664	983785.9659488287	205781.4622296618	68.30737762577685	0.31596835307637927	0.2508866802012192	0.1510539345699222	0.28209103215247927	0.008567559807871687	1.1138120122672381E-7	1.1138120122672382E-7	-30458.139915490297	0.0	-66.03874323353526
20000	-30525.859293478192	-71.02093314338441	-30454.83836033481	363685.5063143984	363685.5063143984	1012498.7635199053	274218.1688644987	68.76656751980038	0.31158625425991454	0.2571927641332969	0.1470007115114325	0.284220270095356	0.013798553669440656	1.0885016309875841E-7	1.0885016309875841E-7	-30454.83836033481	0.0	-66.49178893902545
21000	-30491.93030396566	-70.30073851451198	-30421.629565451145	394294.1558934462	394294.1558934462	1136803.9458429306	197857.80202433863	49.59360071709448	0.31158625425991454	0.2571927641332969	0.1470007115114325	0.284220270095356	0.01585154687037681	9.383342297428747E-8	9.383342297428748E-8	-30421.629565451145	0.0	-67.19802488750082
22000	-30438.935826414083	-73.9724466595149	-30364.96337975457	481767.35775576433	481767.35775576433	1450048.1392223518	151810.49841551896	62.93588763537967	0.31220245769544913	0.2597551018967936	0.14608505947555062	0.28195738093220657	0.03964489865404825	7.144548321379278E-8	7.144548321379279E-8	-30364.96337975457	0.0	-70.64890461814961
23000	-30374.80156340384	-74.22213958452163	-30300.579423819316	618986.5196047375	618986.5196047375	1915329.083415248	448504.73736391525	62.247939798308984	0.3165602187699458	0.255397340822297	0.14608505947555062	0.28195738093220657	0.018910153110439747	5.8026207511555956E-8	5.802620751155595E-8	-30300.579423819316	0.0	-70.1254623133576
24000	-30339.42829184012	-76.79505229461282	-30262.633239545507	988620.8382998391	988620.8382998391	2948688.807729285	336658.7317759171	57.35496946827781	0.3123764623928661	0.25245220192042483	0.14834638456659027	0.2868249511201188	0.023093635944301038	3.682919061865486E-8	3.682919061865486E-8	-30262.633239545507	0.0	-73.66621071819033
25000	-30338.09490841224	-77.84153774388508	-30260.253370668353	1209332.0504005677	1209332.0504005677	3611972.9327639984	1099211.3768945793	63.581921119067026	0.3147463820717943	0.25561920770289814	0.14597646488766206	0.2836579453376455	0.033605345635292355	2.8198285992303816E-8	2.8198285992303813E-8	-30260.253370668353	0.0	-73.44248983409588
26000	-30335.883620905024	-78.40058932157226	-30257.48303158345	1407435.7565687604	1407435.7565687604	4154995.9179665702	601756.4793815673	66.1273853281536	0.3100563677668583	0.25561920770289814	0.15066647919259804	0.2836579453376455	0.05559341773448306	2.6826058985468445E-8	2.6826058985468442E-8	-30257.48303158345	0.0	-74.52648131681087
27000	-30328.978593603097	-77.60242293488756	-30251.37617066821	1145234.955911027	1145234.955911027	3486335.532132506	826052.8868601037	63.00482643537848	0.3100563677668583	0.2539263021178174	0.15235938477767877	0.2836579453376455	0.1766295531245791	2.9344988850362877E-8	2.9344988850362884E-8	-30251.37617066821	0.0	-73.19241566344631
28000	-30330.896261782644	-79.06821929779073	-30251.828042484853	1242445.185528256	1242445.185528256	3832726.425080457	1620796.1283276232	55.97602913101471	0.3107370032066406	0.2532456666780351	0.15235938477767877	0.2836579453376455	0.19962470461897985	2.7025229618311846E-8	2.7025229618311842E-8	-30251.828042484853	0.0	-74.37723660972766
29000	-30329.262122688546	-78.46350855822739	-30250.79861413032	1210910.1141456452	1210910.1141456452	3651199.852845197	1524190.3136684054	52.67127815424133	0.3145505897574448	0.2551795329902543	0.14862975316509197	0.28164012408720884	0.15488216522275516	2.8365106694255613E-8	2.8365106694255617E-8	-30250.79861413032	0.0	-74.05250115408896
30000	-30329.08040111736	-78.172274176344	-30250.908126941016	1143184.414755186	1143184.414755186	3449207.4046678785	1008893.8234860918	70.05643966292769	0.3154775845759218	0.2535867554602467	0.1492955358766226	0.28164012408720884	0.18508346990840335	3.052294084859352E-8	3.052294084859352E-8	-30250.908126941016	0.0	-73.19429514562414
31000	-30330.137212495814	-76.76493729130934	-30253.372275204503	1016763.9971767362	1016763.9971767362	3032653.836887267	871003.6489616326	57.920494470135516	0.3154775845759218	0.25149918119532055	0.1492955358766226	0.283727698352135	0.14366241964861676	3.440539442953994E-8	3.440539442953994E-8	-30253.372275204503	0.0	-72.4677267707285
32000	-30330.361434248192	-78.54349675649101	-30251.8179374917	1308868.422909047	1308868.422909047	3894205.7367822183	1275009.1698005558	59.96466192364886	0.3154775845759218	0.25149918119532055	0.14978304695823227	0.2832401872705253	0.19790866716148167	2.6765359476525013E-8	2.6765359476525017E-8	-30251.8179374917	0.0	-73.90444546578541
33000	-30330.72682091614	-78.7750331079946	-30251.951787808146	1220021.2780754997	1220021.2780754997	3771535.2366898446	1393387.5130609758	59.96466192364886	0.3154775845759218	0.2533362285499565	0.14956051002579357	0.281625676848328	0.16644068884935367	2.8530614405607347E-8	2.8530614405607353E-8	-30251.951787808146	0.0	-74.05882050001712
34000	-30330.909216213633	-77.94057860605635	-30252.968637607577	1231004.2738343824	1231004.2738343824	3739409.9738133634	653477.0717055864	63.3191707521486	0.3128608298104739	0.2534468561389087	0.14944988243684137	0.2842424316137759	0.20608435316328116	2.8017608070724333E-8	2.8017608070724333E-8	-30252.968637607577	0.0	-73.74673652629376
35000	-30335.988546991215	-76.90180122636161	-30259.086745764853	1048034.8274773308	1048034.8274773308	3147944.4884370733	698373.9308355593	61.43711378919976	0.3067946260332983	0.25393054445775987	0.1581356535256001	0.2811391759833416	0.15166410258211083	3.4281151837079575E-8	3.4281151837079575E-8	-30259.086745764853	0.0	-72.65091477170247
36000	-30332.110437496765	-77.75495672675346	-30254.355480770013	1073701.8398845503	1073701.8398845503	3305151.1801051605	1332019.3839808241	48.763566376190745	0.31918278302405634	0.24969685171695583	0.14742694128865688	0.28369342397033076	0.18963782490276285	3.05510081133367E-8	3.05510081133367E-8	-30254.355480770013	0.0	-73.5463098472968
37000	-30334.041809382135	-77.90486377296332	-30256.13694560917	1093607.505052637	1093607.505052637	3221288.4158742586	1452668.0009355405	48.74124688224039	0.3122897070917932	0.2569171520478131	0.15042021494080451	0.28037292591958884	0.2104454702275382	3.287906983795109E-8	3.287906983795109E-8	-30256.13694560917	0.0	-73.51469252693094
38000	-30335.96251033983	-80.08095616807127	-30255.881554171756	1665722.2460904045	1665722.2460904045	5031634.6512366375	920905.8598556925	76.36666392611257	0.3122897070917932	0.25507390866512925	0.14952878059740354	0.2831076036456737	0.2006372550366428	2.0633335877502517E-8	2.0633335877502513E-8	-30255.881554171756	0.0	-75.28119111569518
39000	-30332.47531287327	-78.21474200571211	-30254.26057086756	1479324.125964419	1479324.125964419	4477865.55948666	998598.7124014735	50.45094241595879	0.3109803317699267	0.2563832839869958	0.14861402480680203	0.2840223594362752	0.22008378433286668	2.2324613594919198E-8	2.23246135949192E-8	-30254.26057086756	0.0	-74.44575447516748
40000	-30333.33822813262	-77.39071910588123	-30255.947509026737	1133425.6541704312	1133425.6541704312	3399858.691888797	661408.0904553087	64.35395836014268	0.31272304732678186	0.2563832839869958	0.15364772443305427	0.27724594425316773	0.1956425142601066	2.954957432999081E-8	2.9549574329990814E-8	-30255.947509026737	0.0	-73.08683142239097
