# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Tue Feb 16 14:09:02 UTC 2021 [seed=1613484541067]
# ../xml/bears_aligned_ccs_root.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
18000	-33021.929744470224	-139.3844730090654	-32882.54527146116	363931.1631844644	363931.1631844644	694947.9626211454	130577.10730624068	6863.2700512523015	0.3152882319428344	0.2548843558287438	0.14787814687789066	0.2819492653505313	0.006333483510254148	3.77037054656366E-5	3.77037054656366E-5	-32882.54527146116	0.0	-62.472582222699934
19000	-33026.210556342	-139.29945594167881	-32886.91110040032	370255.1859774866	370255.1859774866	678061.3679736122	113066.21364907669	8595.556839340008	0.3147686305359835	0.25282364619531666	0.14787814687789066	0.28452957639080934	0.011192241268933516	3.768640941385362E-5	3.7686409413853613E-5	-32886.91110040032	0.0	-61.893994386188524
20000	-33023.52987120574	-145.5745598568294	-32877.95531134891	362365.38081342966	362365.38081342966	725865.513606254	91955.43368560444	8653.984516304849	0.31484672789164286	0.25282364619531666	0.14787814687789066	0.28445147903514995	0.013652562434510488	4.277448270941885E-5	4.277448270941885E-5	-32877.95531134891	0.0	-62.67335402939811
21000	-33023.27935993335	-134.20749047285136	-32889.0718694605	364542.28291165194	364542.28291165194	727577.3787599786	79293.89971469066	4768.878973500167	0.31893864260811317	0.25282364619531666	0.14681889972736234	0.28141881146920794	0.026648369843085058	3.21428832994939E-5	3.2142883299493896E-5	-32889.0718694605	0.0	-62.82941089748488
22000	-33021.37232808767	-134.9720108177854	-32886.40031726989	365294.98597391456	365294.98597391456	695111.9650433642	95740.28445597895	6105.66346807616	0.31893864260811317	0.25266512996262747	0.14806218765487555	0.2803340397743839	0.020201032332183233	3.346753240021813E-5	3.346753240021813E-5	-32886.40031726989	0.0	-62.06267635702107
23000	-33022.478316574605	-132.7359636182212	-32889.74235295638	365874.00860030093	365874.00860030093	625038.2646782198	96107.72138313383	4967.474658524026	0.31893864260811317	0.24928318853120252	0.15022472272571047	0.281553446134974	0.019649761870992984	3.704132481082283E-5	3.704132481082283E-5	-32889.74235295638	0.0	-61.052747127843716
24000	-33021.501269997796	-136.71435644516112	-32884.786913552634	364349.5425981297	364349.5425981297	699865.2822834407	73855.74977266691	5894.3953332569745	0.3207180744432873	0.25085658918823256	0.1468718902335063	0.281553446134974	0.02198130047574851	3.579085937183123E-5	3.5790859371831226E-5	-32884.786913552634	0.0	-62.43867727995937
25000	-33027.536629664275	-137.2770464399375	-32890.25958322434	367831.86861962476	367831.86861962476	810370.5137921569	71070.05959836542	6238.94493917552	0.3207180744432873	0.24883951712116337	0.14703657382304627	0.28340583461250324	0.01820450154350877	2.8811441245069937E-5	2.8811441245069937E-5	-32890.25958322434	0.0	-64.65096552550969
26000	-33012.40907742167	-139.3182543645367	-32873.09082305713	388307.4029563304	388307.4029563304	1002996.6814141981	188977.1706568295	7474.272676138803	0.3199388509223257	0.24893768949010303	0.14762186834495394	0.28350159124261753	0.010673323649224974	2.3021741311238376E-5	2.3021741311238376E-5	-32873.09082305713	0.0	-65.4576983742377
27000	-33002.99916782702	-129.87505459286857	-32873.12411323415	380152.7704378614	380152.7704378614	895725.9323908639	148281.28204843265	4708.353053095474	0.3141770295193571	0.2556768649220841	0.14762186834495394	0.2825242372136051	0.026819404316259274	1.961040629726681E-5	1.961040629726681E-5	-32873.12411323415	0.0	-64.37554987841395
28000	-33006.98714394299	-127.59062961582879	-32879.39651432716	364998.49973619956	364998.49973619956	695458.071022379	146793.67306915778	4086.104420346953	0.3144953312594147	0.2520019957953253	0.15097843573165515	0.2825242372136051	0.02040079012786924	2.493893714957172E-5	2.4938937149571718E-5	-32879.39651432716	0.0	-62.64914918358229
29000	-32994.28926790139	-116.57568072810038	-32877.71358717329	370146.65014514624	370146.65014514624	754892.0498607627	73667.05215494818	2323.152824881121	0.31935016427120866	0.2578970170039315	0.14693683944643612	0.27581597927842394	0.030485223139606162	1.2938186164270969E-5	1.2938186164270969E-5	-32877.71358717329	0.0	-63.441814700448475
30000	-32778.043088957966	-111.4405418131991	-32666.602547144765	379067.61579309043	379067.61579309043	951050.1804173059	117278.75605296051	2088.0155196633027	0.31902138776891986	0.2578970170039315	0.14693683944643612	0.27614475578071274	0.01749501853977138	4.059885593770032E-6	4.059885593770032E-6	-32666.602547144765	0.0	-65.1803712549957
31000	-32417.87952505722	-106.70542042392817	-32311.17410463329	387715.0400668269	387715.0400668269	1029323.4070401031	192347.84668836358	1203.3619412408568	0.31467557779190597	0.25506264917442867	0.1454304202395365	0.284831352794129	0.033753331276623104	1.5286932966531976E-6	1.5286932966531976E-6	-32311.17410463329	0.0	-65.67295734449402
32000	-30670.78121468736	-103.65692359971524	-30567.124291087643	372971.0451814961	372971.0451814961	1026997.4885321986	350248.99882724095	728.4420984559083	0.31346510197638916	0.2609709054331114	0.14357656546133474	0.28198742712916486	0.024663655466863978	1.2350202454926029E-7	1.2350202454926029E-7	-30567.124291087643	0.0	-66.88245563097439
33000	-30526.34060972915	-100.10791028182024	-30426.232699447333	472034.5569624453	472034.5569624453	1400760.3378017822	237344.31440803816	391.5720671516521	0.3169336204624321	0.24901786958347905	0.1534489025720665	0.2805996073820225	0.023336339458183662	7.720942416308969E-8	7.720942416308969E-8	-30426.232699447333	0.0	-68.42512144461541
34000	-30445.28462103595	-99.94695401546383	-30345.337667020485	742042.3701970692	742042.3701970692	2414984.7719961274	332855.67854749225	318.3035171714925	0.311377080477611	0.24901786958347905	0.151565754693985	0.28803929524492516	0.07508005606029562	4.511407222201701E-8	4.5114072222017016E-8	-30345.337667020485	0.0	-72.77826882653507
35000	-30373.705697050682	-95.67185477675798	-30278.033842273922	1313591.473571317	1313591.473571317	3998186.4217318427	914116.5984091042	191.6981506928576	0.31700132660908853	0.24901786958347905	0.151565754693985	0.2824150491134476	0.1448738122728093	2.6570473444599664E-8	2.657047344459966E-8	-30278.033842273922	0.0	-73.89568897408358
36000	-30368.914090469487	-95.36205026737619	-30273.55204020211	1378142.5493642618	1378142.5493642618	4099364.635181732	1538574.6076679812	146.58360256720627	0.30905954621973286	0.2537963441765013	0.1514297498349268	0.28571435976883924	0.10604466000367364	2.4883486875499704E-8	2.4883486875499708E-8	-30273.55204020211	0.0	-74.32828312029736
37000	-30357.609781204832	-96.35390289853436	-30261.255878306296	1007394.7708807633	1007394.7708807633	3114425.413198121	285175.7413723819	102.75599375446143	0.3099004626977827	0.2537963441765013	0.1508364961211304	0.28546669700458577	0.19617006260859268	3.3078357314822034E-8	3.3078357314822034E-8	-30261.255878306296	0.0	-76.0249892443278
38000	-30343.39260607758	-92.39128738352876	-30251.001318694052	1132354.8584113517	1132354.8584113517	3434988.2971560927	867469.6089326582	69.11654195167428	0.3163958241088452	0.2516660274513005	0.15097174166651722	0.2809664067733373	0.20067289549301892	2.964484321058494E-8	2.964484321058494E-8	-30251.001318694052	0.0	-73.12369903327827
39000	-30346.61860534833	-91.39002260646184	-30255.228582741867	1265021.1730675988	1265021.1730675988	3764816.5488255243	1002169.2310663343	53.3149257405824	0.31682983218842004	0.2470331151290641	0.14738131955359554	0.28875573312892056	0.19113800190755378	2.730856128940233E-8	2.7308561289402335E-8	-30255.228582741867	0.0	-73.47027535667823
40000	-30347.785486536424	-91.69167492473653	-30256.09381161169	1186688.6910892273	1186688.6910892273	3598190.559839958	439158.6963521498	44.01365853202562	0.31682983218842004	0.25122306168288944	0.1452404067230771	0.28670669940561366	0.17304705829245254	2.820680614355982E-8	2.820680614355982E-8	-30256.09381161169	0.0	-74.8105529987575
41000	-30347.033280024007	-91.26724599751303	-30255.766034026492	1128681.077444372	1128681.077444372	3293560.6939741354	491230.77758350444	56.730971760075704	0.31011219501254816	0.25414100726910704	0.14780094027011567	0.28794585744822937	0.17581988466647125	3.1794748750624035E-8	3.1794748750624035E-8	-30255.766034026492	0.0	-73.13248673174208
42000	-30346.449384737978	-92.08814285373326	-30254.361241884246	1304978.8214034697	1304978.8214034697	4063089.1008749586	831772.5162129242	60.847557098050444	0.31118180582784694	0.25414100726910704	0.14742096025655094	0.2872562266464953	0.15406813923350068	2.6275743806035342E-8	2.6275743806035346E-8	-30254.361241884246	0.0	-74.22704344109206
43000	-30345.090425415918	-92.69390957272469	-30252.396515843193	1215286.6909934904	1215286.6909934904	3692220.0940652676	1478158.0591822092	53.85091770811249	0.3180592265661338	0.25414100726910704	0.14742096025655094	0.28037880590820846	0.245233420212792	2.8188037073875927E-8	2.818803707387593E-8	-30252.396515843193	0.0	-74.02204205876436
44000	-30347.44618901778	-91.99582198489821	-30255.45036703288	1218353.1734376545	1218353.1734376545	3669510.3188743223	981189.3813156043	60.592809065516214	0.3152749614699911	0.24986088455036595	0.14908658155424193	0.28577757242540125	0.22368253208854627	2.7723083426777593E-8	2.7723083426777593E-8	-30255.45036703288	0.0	-73.44990496021784
