# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Tue Feb 16 14:18:52 UTC 2021 [seed=1613485131275]
# ../xml/bears_aligned_bsl_root.xml
# keywords: skyline
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood	branchRates	skyline
11000	-34231.6468614523	-1013.8710606842608	-33217.77580076804	360036.6481074237	360036.6481074237	366836.8056264906	1510.424858873507	26.611738336351607	12.140314583236652	21.17512023338715	2.0	1.0	1.0	1.0	842.8853149260275	0.30892079600232303	0.2667277737902782	0.1507985422291377	0.2735528879782611	0.012047785855451224	2.98426342945106E-5	2.9842634294510592E-5	-33217.77580076804	0.0	-31.24827884362589
12000	-34027.98774565967	-1033.8299579666298	-32994.157787693046	360011.22846087656	360011.22846087656	374985.36745200993	5575.25806195695	191.19841742202004	9.78530810477211	6.735302469051467	2.0	1.0	1.0	1.0	1894.3405780746866	0.31777607586611917	0.2535356711183823	0.14491638860188671	0.28377186441361185	0.00632595911537837	1.892066348427587E-5	1.892066348427587E-5	-32994.157787693046	0.0	-48.39259577474561
13000	-33937.9705785448	-1021.1967409295189	-32916.773837615285	360012.17294702533	360012.17294702533	379219.8045181111	9126.072206329334	1735.0073982212432	7.89402451751948	3.338039368534486	2.0	1.0	1.0	1.0	1395.6718293557442	0.31752539677239316	0.2535356711183823	0.14491638860188671	0.28402254350733785	0.011421519493597942	6.214699635126939E-6	6.214699635126939E-6	-32916.773837615285	0.0	-39.785312503010786
14000	-33845.61711545721	-1017.7058049234676	-32827.91131053374	360006.9187978229	360006.9187978229	378973.78539653047	10832.322613631855	1231.0233822678288	6.01750415533645	3.940581635724926	2.0	1.0	1.0	1.0	811.3121667748139	0.3160608524839664	0.2535356711183823	0.14350011112475272	0.28690336527289856	0.011018532665438558	3.453685429738398E-6	3.4536854297383985E-6	-32827.91131053374	0.0	-40.3674683187169
15000	-33835.879661483326	-1016.4471826300852	-32819.43247885324	360007.08856371604	360007.08856371604	379931.29552794556	33977.17688702888	4938.357611358135	17.04612183185386	11.202421213454077	1.0	2.0	1.0	1.0	499.98375474009043	0.31798513194291433	0.2535356711183823	0.14640943243521276	0.28206976450349064	0.01783705847757025	2.888724357410913E-6	2.8887243574109128E-6	-32819.43247885324	0.0	-36.82237505023474
16000	-33836.66922826384	-1015.7904725084675	-32820.87875575537	360005.25953026774	360005.25953026774	380214.83126379724	38231.01905935024	8236.064024807376	13.959585530468622	14.057179218132582	1.0	2.0	1.0	1.0	315.4650905715656	0.3139792929027013	0.25754151015859533	0.15121461605649728	0.2772645808822062	0.01795893471643608	2.8275341343663002E-6	2.8275341343663E-6	-32820.87875575537	0.0	-37.162720217265864
17000	-33540.57092082631	-1087.4619619849525	-32453.108958841356	360000.52956720104	360000.52956720104	394856.9696554138	32780.427300619034	14146.639330610647	42.08212132799053	8.08586175020885	1.0	2.0	1.0	1.0	329.70190517926585	0.3212315943041341	0.26051376748964267	0.14099005732401718	0.2772645808822062	0.02508813805803579	2.200859704404969E-6	2.200859704404969E-6	-32453.108958841356	0.0	-108.25168047721758
18000	-32339.223899337456	-1044.3936516597935	-31294.830247677663	360003.1557186709	360003.1557186709	555450.8738002739	31589.36379693728	18776.192815672726	929.3146566034046	4.911541730928236	2.0	1.0	1.0	1.0	203.98790360568182	0.3128427417953713	0.26051376748964267	0.14937890983278002	0.2772645808822062	0.035599917073031874	4.3751808094846354E-7	4.375180809484635E-7	-31294.830247677663	0.0	-65.32112430028734
19000	-31525.257623672303	-1047.662856794262	-30477.594766878043	360000.3751091975	360000.3751091975	971891.3500550615	35178.67283463843	125143.61716878098	16281.032255608035	5.212557893828488	1.0	2.0	1.0	1.0	158.40828913744616	0.31855589515777344	0.2514339307573193	0.15274559320270123	0.2772645808822062	0.04374770686297657	1.1038999972232136E-7	1.1038999972232133E-7	-30477.594766878043	0.0	-62.59523607100954
20000	-31502.15079688305	-1041.9903960852632	-30460.160400797784	360000.1004227323	360000.1004227323	997026.4755287685	83269.3666773389	114521.53053660064	34574.27778522485	3.5660386439434144	1.0	2.0	1.0	1.0	107.66457857582046	0.313283014136765	0.24852836939129222	0.15274559320270123	0.28544302326924165	0.11628763465858354	1.0747669766269603E-7	1.0747669766269605E-7	-30460.160400797784	0.0	-57.76984312704978
21000	-31491.433132615406	-1040.7588774037667	-30450.674255211638	360000.00864297117	360000.00864297117	964155.4360804555	110035.44734363967	347165.351832854	34368.51677662646	1.4243400004252589	1.0	2.0	1.0	1.0	79.32938916950106	0.30911630206395985	0.25269508146409736	0.15274559320270123	0.28544302326924165	0.17913294923313222	1.0494961825965958E-7	1.0494961825965958E-7	-30450.674255211638	0.0	-54.17114972936461
22000	-31488.001321460917	-1039.0691918593823	-30448.932129601533	360001.0515856977	360001.0515856977	973080.3853040695	257798.86102899138	213156.94584621186	29226.407495410982	1.2318816822144036	1.0	2.0	1.0	1.0	52.42743916700976	0.30672700036940004	0.25239627550873883	0.15339985859478752	0.2874768655270737	0.16446672736784937	1.0494961825965958E-7	1.0494961825965957E-7	-30448.932129601533	0.0	-55.005194780527106
23000	-31495.34400650841	-1045.9418612500922	-30449.40214525832	360002.63688940706	360002.63688940706	987131.9046995245	805827.6183427776	807454.3971331306	20983.237036451057	5.584845649324695	1.0	2.0	1.0	1.0	69.34000135791547	0.30672700036940004	0.2587510194643762	0.15339985859478752	0.28112212157143635	0.22610556325991651	9.941426716022427E-8	9.941426716022424E-8	-30449.40214525832	0.0	-57.614527170796876
24000	-31500.735465104124	-1047.5421738898303	-30453.193291214295	360001.6897705141	360001.6897705141	995207.3752456733	1251307.3331593866	1511594.0246021096	24394.8393577534	2.776127437548241	1.0	2.0	1.0	1.0	62.749874412681365	0.31708935280027783	0.2587510194643762	0.14405607969992662	0.2801035480354195	0.328647681801781	1.0365961766596556E-7	1.0365961766596556E-7	-30453.193291214295	0.0	-57.43774740234413
25000	-31491.741204460723	-1044.1542935898035	-30447.58691087092	360002.98839213705	360002.98839213705	988842.618589947	912677.5531404567	448743.7924332831	29277.99413771858	2.0067648417135877	1.0	2.0	1.0	1.0	57.99941891714987	0.31952133630622304	0.2509052712414828	0.14770413293909	0.2818692595132042	0.2820539687060701	1.014259673406875E-7	1.014259673406875E-7	-30447.58691087092	0.0	-56.7189286239557
26000	-31496.238306671134	-1042.5380149890154	-30453.70029168212	360001.8114507956	360001.8114507956	952469.499258143	1064539.3386685671	324585.5858816431	55278.03245432116	3.1045484230090854	1.0	2.0	1.0	1.0	40.492040840509816	0.3139726888009382	0.2532438623927548	0.15325278044437482	0.2795306683619322	0.29140275234681784	1.014259673406875E-7	1.0142596734068747E-7	-30453.70029168212	0.0	-55.55295878700434
27000	-31492.56312127949	-1040.557226321091	-30452.005894958398	360000.1367440803	360000.1367440803	973532.3634220175	550221.4087031765	304536.4039816234	52080.78482988305	1.7938491489165564	1.0	2.0	1.0	1.0	52.654705060018365	0.3139726888009382	0.2532438623927548	0.15325278044437482	0.2795306683619322	0.2663017011125632	9.419807771133834E-8	9.419807771133834E-8	-30452.005894958398	0.0	-54.13040219879225
28000	-31492.133374943623	-1044.0473254539081	-30448.086049489717	360002.2512755156	360002.2512755156	991345.9786278849	920441.104981798	174608.2524572966	27276.42822545743	2.263931664983245	2.0	1.0	1.0	1.0	66.53703055761217	0.31306274034025255	0.2501821615167951	0.14986064525611567	0.2868944528868367	0.316747039613072	9.872657855691478E-8	9.872657855691478E-8	-30448.086049489717	0.0	-57.356171200192456
