# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Tue Feb 16 13:09:30 UTC 2021 [seed=1613480967727]
# bears_aligned_bsl.xml
# keywords: skyline
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood	branchRates	skyline
0	-497332.3165262301	-361870.6608508803	-135461.65567534973	360119.66703636775	360119.66703636775	360535.86935254413	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	1.0	1.0	-135461.65567534973	0.0	-416.2023161763791
1000	-210480.55576359906	-81051.8936413204	-129428.66212227863	360012.66780831164	360012.66780831164	360108.7299208458	5.085853678057586	6.25888608260654	11.599492382920719	7.751339337476098	1.0	1.0	2.0	1.0	2.1487327419756284	0.26363479046489047	0.24678791296789745	0.2431796851791352	0.24639761138807695	0.35697669308759306	0.22244674743797757	0.2224467474379776	-129428.66212227863	0.0	-20.9763938423719
2000	-142899.0693711298	-19318.998515585838	-123580.07085554396	360002.8104290713	360002.8104290713	360054.59317140747	6.058744779481649	21.628151135299863	36.38334712106438	8.978173748735912	1.0	1.0	1.0	2.0	3.7921548719724933	0.2775612318702916	0.24640395100363885	0.23569662590098994	0.24033819122507977	0.3549600214977874	0.0510314676327036	0.051031467632703595	-123580.07085554396	0.0	-14.657116207584732
3000	-82676.8585961831	-4934.186455707688	-77742.6721404754	360001.0667467318	360001.0667467318	360028.16897935467	5.832679770168424	7.181691687827109	23.863676523663898	2.8953936274155194	1.0	1.0	1.0	2.0	7.237565032462876	0.2932218324599442	0.22993011836410313	0.23569662590098994	0.24115142327496283	0.258704916008212	0.011096250880853413	0.011096250880853411	-77742.6721404754	0.0	-11.45764931057539
4000	-53151.334925974996	-2082.2945391497447	-51069.040386825254	360001.1242130897	360001.1242130897	360036.10814518965	4.541211775569693	8.802660223117424	11.475540424072648	2.243643396722225	1.0	1.0	1.0	2.0	9.774928487824415	0.2932218324599442	0.23014761720971255	0.22711897767347494	0.2495115726568684	0.17195985437232	0.0031730664085977537	0.0031730664085977537	-51069.040386825254	0.0	-14.658893427782491
5000	-41429.78908968972	-1030.777657359495	-40399.011432330226	360001.629074412	360001.629074412	360042.1298374795	7.196347736525316	2.515089182091768	7.1063393850650325	14.034043298225694	1.0	1.0	2.0	1.0	20.46903509859256	0.2932218324599442	0.2351724389495239	0.21455217626274742	0.2570535523277846	0.0981212556433135	2.45900311385928E-4	2.45900311385928E-4	-40399.011432330226	0.0	-16.03212645646319
6000	-38194.29712882739	-976.3650640078932	-37217.9320648195	360011.93409845774	360011.93409845774	360435.26474652067	81.67339621297674	8.881626943387683	9.002034414606353	8.553911143368342	1.0	1.0	2.0	1.0	26.604469529633384	0.2932218324599442	0.24033555855083605	0.20727250773675232	0.2591701012524676	0.07290329346412316	6.578965347183971E-5	6.578965347183971E-5	-37217.9320648195	0.0	-23.249269734139347
7000	-35034.37450450998	-969.5094555793104	-34064.86504893067	360012.0406430544	360012.0406430544	360884.73012469127	302.0277250453092	5.4187101245715645	11.554820850516627	12.111350613449908	2.0	1.0	1.0	1.0	118.7069238286053	0.2936851453690986	0.24934717399370948	0.1854249620296256	0.27154271860756646	0.05182648921177148	2.1061794494913967E-5	2.1061794494913967E-5	-34064.86504893067	0.0	-25.226166707697786
8000	-34155.13701943287	-1115.335659761019	-33039.80135967185	360015.1889542271	360015.1889542271	378022.1847732606	2048.548292482099	33.41061932429306	21.07286126814165	9.852251871433724	2.0	1.0	1.0	1.0	151.13928663674287	0.30720908605252095	0.24588085177805896	0.1663182365407869	0.2805918256286334	0.0507388587579905	3.951265678508848E-6	3.951265678508848E-6	-33039.80135967185	0.0	-173.01292647285902
9000	-33343.258140722915	-1118.1875893237368	-32225.070551399178	360045.9104297294	360045.9104297294	420341.38370501564	5468.219123994667	268.6121316513568	444.71395068875154	8.632547904686133	1.0	1.0	2.0	1.0	213.02200456901124	0.3150076974193299	0.24856299781502852	0.1558374791370084	0.2805918256286334	0.022846406009421182	1.7167327463616011E-6	1.7167327463616011E-6	-32225.070551399178	0.0	-168.192049131405
10000	-32188.59176425644	-1081.3279268123865	-31107.26383744405	360008.77861805976	360008.77861805976	703626.5892472665	19307.620951361783	5627.598486259031	1375.159250217779	41.893959328537	2.0	1.0	1.0	1.0	155.32192438803636	0.3130444029836196	0.2589961800462784	0.14339021482012898	0.2845692021499732	0.03456328801112849	3.7131753601688446E-7	3.713175360168845E-7	-31107.26383744405	0.0	-128.42184910778212
11000	-31485.287489063474	-1030.5981577786222	-30454.68933128485	360016.5807265515	360016.5807265515	988268.7686906175	139628.06842130626	32098.012143522952	18973.270085113156	214.49265792806526	2.0	1.0	1.0	1.0	77.00265707259292	0.3160543742611894	0.2507359592157782	0.14935396674401738	0.2838556997790152	0.0529876937424858	1.0691461970516128E-7	1.0691461970516125E-7	-30454.68933128485	0.0	-72.37546990950206
12000	-31473.618952964942	-1022.5515988351227	-30451.06735412982	360015.1953666367	360015.1953666367	985844.0260591481	269596.33351953916	122495.03432183785	36454.08348015202	337.87534662114257	2.0	1.0	1.0	1.0	80.19970025968884	0.3160543742611894	0.25662027395251535	0.14757243147022647	0.27975292031606896	0.13098311098158105	1.0392918010863562E-7	1.0392918010863564E-7	-30451.06735412982	0.0	-60.82366415964348
13000	-31470.114571033177	-1021.1532745781345	-30448.961296455043	360006.31006122776	360006.31006122776	967999.1387171331	75856.50518945204	194116.56554340388	14657.159581473297	166.10800446490208	1.0	2.0	1.0	1.0	64.15627797907443	0.3160543742611894	0.25092901331857975	0.14757243147022647	0.28544418095000457	0.13139733853049396	1.0661199728288209E-7	1.0661199728288209E-7	-30448.961296455043	0.0	-61.19490946560945
14000	-31466.68047787832	-1020.0283858998195	-30446.6520919785	360007.4586505672	360007.4586505672	968181.2706837765	125958.05519466066	129276.18816113702	21726.72706526809	157.50059429158097	2.0	1.0	1.0	1.0	54.219890280641934	0.31223418870460634	0.2522857754025451	0.14757243147022647	0.28790760442262225	0.19904108104384854	1.0817028107324622E-7	1.0817028107324622E-7	-30446.6520919785	0.0	-60.86857947361517
15000	-31472.540754603204	-1022.082983024992	-30450.45777157821	360012.3759253168	360012.3759253168	998323.8885059841	143960.66426471833	369303.7066748402	150636.61895440114	50.714871838196956	2.0	1.0	1.0	1.0	61.289828722438614	0.3139356165068213	0.25873224042542525	0.14976579768098536	0.27756634538676833	0.15107201412916807	1.0792402171013657E-7	1.0792402171013658E-7	-30450.45777157821	0.0	-57.64535288470717
16000	-31468.33191235427	-1020.9947558503715	-30447.3371565039	360001.51820887724	360001.51820887724	976886.6693010058	358103.3163824053	762441.7257597732	72356.83710632673	10.263589736806491	2.0	1.0	1.0	1.0	56.06888457672995	0.31621965265430335	0.2590281989832819	0.14976579768098536	0.2749863506814296	0.20888326359984397	1.0649704898801853E-7	1.0649704898801853E-7	-30447.3371565039	0.0	-55.64021620197287
17000	-31468.08025101434	-1019.7425914786768	-30448.337659535664	360002.09194255725	360002.09194255725	977119.631453946	409864.6135850859	179197.246048514	46726.44616531164	19.48559975721961	2.0	1.0	1.0	1.0	61.2436436909748	0.30573575599362457	0.25930640531841137	0.15372761707786395	0.28123022161010025	0.24721358504458563	1.0649704898801853E-7	1.0649704898801853E-7	-30448.337659535664	0.0	-57.190815292521826
18000	-31467.565683938028	-1020.2597398350218	-30447.305944103005	360009.0275974361	360009.0275974361	974451.5754987672	212857.5288903004	433942.9919943645	30150.977611534214	18.411258605725255	2.0	1.0	1.0	1.0	72.4650998579494	0.3109262976670697	0.2561162858686442	0.14528805493030225	0.28766936153398404	0.22155205008302692	1.0708270284886097E-7	1.0708270284886099E-7	-30447.305944103005	0.0	-56.695899714198916
19000	-31466.4824703433	-1017.8064199983313	-30448.67605034497	360001.22150297055	360001.22150297055	971184.3518346222	158547.75080146236	265291.41865668684	21563.787262940663	27.01128338301578	2.0	1.0	1.0	1.0	43.7229362444525	0.313979158336378	0.2530634251993359	0.14632445925202175	0.28663295721226456	0.2158884298221279	1.0299257483941721E-7	1.0299257483941721E-7	-30448.67605034497	0.0	-57.53053159063883
20000	-31469.25812220768	-1020.0452779468895	-30449.21284426079	360001.4194804719	360001.4194804719	987694.2702082112	130902.93358472388	179007.61801888692	95446.34084958637	71.71771486159005	1.0	2.0	1.0	1.0	53.15040329934452	0.3132476660058627	0.2558799363055251	0.14632445925202175	0.2845479384365907	0.22674625356973224	1.009153187852585E-7	1.0091531878525852E-7	-30449.21284426079	0.0	-58.355474572770575
21000	-31467.681787187637	-1019.7426635456384	-30447.939123641998	360017.12684339256	360017.12684339256	966541.2341059379	129798.25876141805	196405.26851894343	37789.405862973945	86.58076513621106	1.0	2.0	1.0	1.0	59.88904610010746	0.31848089448252553	0.2509176346317604	0.14679831174625568	0.2838031591394586	0.2135878527917793	1.0700703692048093E-7	1.0700703692048092E-7	-30447.939123641998	0.0	-58.72854253672285
22000	-31466.70547553181	-1021.4452463691214	-30445.260229162686	360029.4297092946	360029.4297092946	972532.0319207294	228777.5638095432	286284.50719848636	82917.12663511239	109.9596065283403	2.0	1.0	1.0	1.0	66.65532250105534	0.3145081547389351	0.25500053391354205	0.14679831174625568	0.28369299960126737	0.1906873053413013	1.0467825915387337E-7	1.0467825915387336E-7	-30445.260229162686	0.0	-58.03945165377051
23000	-31471.0951051779	-1023.8742606229581	-30447.220844554944	360125.2303674613	360125.2303674613	958927.480398019	319978.97047287825	477956.42462091625	143049.8907742008	206.07525746638456	2.0	1.0	1.0	1.0	51.48625935402087	0.31244802967123897	0.2565949769273316	0.15073649209868478	0.28022050130274495	0.2689494023470211	1.0467825915387337E-7	1.0467825915387337E-7	-30447.220844554944	0.0	-59.09094409017232
24000	-31474.411843943613	-1027.5378036940588	-30446.874040249553	360232.73769631376	360232.73769631376	984534.9312860828	482627.5976751568	766610.0441977406	193104.33392606647	218.16899117278552	2.0	1.0	1.0	1.0	65.85728173320642	0.31244802967123897	0.2535573285765831	0.15073649209868478	0.28325814965349344	0.28953252738907675	1.0305625008720104E-7	1.0305625008720105E-7	-30446.874040249553	0.0	-60.362783397769114
25000	-31472.25582338892	-1023.7413155349396	-30448.514507853983	360282.1787308744	360282.1787308744	970671.9841552429	259519.771643707	365116.2489338152	42758.731544066984	432.35409557154344	2.0	1.0	1.0	1.0	72.98395600547792	0.31597428387753324	0.2539740125118885	0.14758226916118808	0.28246943444939043	0.3130213033683154	1.0255407459182443E-7	1.0255407459182444E-7	-30448.514507853983	0.0	-59.99841315836662
26000	-31468.582591589817	-1019.5919353764234	-30448.990656213395	360019.8745971725	360019.8745971725	981012.1261971781	196501.0266740178	308263.7947831279	28940.713022151787	43.38573755178282	2.0	1.0	1.0	1.0	46.97795209696047	0.31597428387753324	0.25723531456949705	0.14758226916118808	0.2792081323917819	0.3660904950900271	1.0364299760269297E-7	1.0364299760269297E-7	-30448.990656213395	0.0	-58.03282875755971
27000	-31472.324556648095	-1022.4162076535484	-30449.908348994548	360281.76767336106	360281.76767336106	963790.4156804152	150373.8953461175	166779.75755532298	61886.94257414376	129.9210625298829	1.0	2.0	1.0	1.0	59.3140387371475	0.31597428387753324	0.25723531456949705	0.1516807376248629	0.2751096639281071	0.3225752981939131	1.0614429097220779E-7	1.0614429097220775E-7	-30449.908348994548	0.0	-60.8180959592562
28000	-31469.980726948947	-1021.7282302405874	-30448.25249670836	360113.66937707644	360113.66937707644	989237.8114010249	188517.49489004305	144907.32121131537	32996.3336522071	272.5680623194977	2.0	1.0	1.0	1.0	70.18345060151006	0.3064211469743428	0.25573871882070903	0.1497667438099536	0.28807339039499485	0.22612696523123127	1.0826125752931537E-7	1.082612575293154E-7	-30448.25249670836	0.0	-60.60705150060819
29000	-31474.73058535658	-1022.9073428129547	-30451.823242543625	360336.6372500161	360336.6372500161	1011025.6905253816	104477.17934507148	293041.110911907	31798.49546291786	283.9973005284074	1.0	2.0	1.0	1.0	58.54398335074479	0.30979356835093597	0.25573871882070903	0.14937972820544249	0.28508798462291285	0.18612074103072646	9.581767179082233E-8	9.581767179082232E-8	-30451.823242543625	0.0	-61.092018912549825
30000	-31468.606801722904	-1021.6919322013188	-30446.914869521584	360075.7672322292	360075.7672322292	993058.3597303958	136982.9732413438	149567.73558614284	52080.91262621914	704.0673299004477	2.0	1.0	1.0	1.0	54.96155672618196	0.3099520980971573	0.25573871882070903	0.14937972820544249	0.2849294548766915	0.17250163325763662	1.0286872122056914E-7	1.0286872122056911E-7	-30446.914869521584	0.0	-61.146108358395885
31000	-31471.591567073927	-1021.4061763885809	-30450.185390685347	360109.91329502175	360109.91329502175	958180.430702793	145350.2065568233	193785.72241036658	28659.981046984925	332.8834350191293	2.0	1.0	1.0	1.0	70.89271122822502	0.30926126850333086	0.25573871882070903	0.1516004079882043	0.28339960468775616	0.21876495861729592	1.1254671552261329E-7	1.1254671552261329E-7	-30450.185390685347	0.0	-60.11482571461286
